question,coarse,fine
Who interrupts Fogell's chance at buying alcohol?,HUM,ind
Why does Claremont plan to have the stolen $10 million dollars returned?,DESC,reason
How does Katherine help Adam understand his mother's perspective on the disease?,DESC,manner
What is revealed to Scott by the Secret Service agent?,DESC,desc
What makes Rachel believe that Jesse never cared for her?,DESC,reason
What happens when Nicoli tries to kill Popeye?,DESC,desc
What encourages Mark to humiliate Rachel for telling the school counselor and the sheriff that Lisa and Eric slept together?,DESC,reason
What happens to Tomoko?,DESC,desc
Discuss the way Conrad treat Stevie as a character?,DESC,manner
Who are some of the people who decide to help George complete his house?,HUM,ind
"Why does the character Tess, according to the story, pose as a pregnant Julia Roberts?",DESC,reason
"When it is discovered that a ""rescue"" team is coming to kill the two Sam clones, what is their solution?",DESC,desc
"Why does Domino collect $300,000 from Bishop Drake?",DESC,reason
Why would a union between Eden and Ruth have been impossible?,DESC,reason
Why do John's three half sisters have to look for a new home after Mr. Dashwood's death?,DESC,reason
"In the beginning of the story, what were the three rules that  the shop owner's grandson warned should not be broken?",DESC,desc
"What is the fallout to Yuri's weapon deals with Andre Baptise, Sr.?",DESC,desc
How does Cooper find out about the secret NASA missions?,DESC,manner
Why did Marjory flee to Scotland?,DESC,reason
Why does Alf steal the $10 million dollars before the money is returned to Bishop Drake?,DESC,reason
What exactly is a leady?,DESC,def
What do you think is the nature of Edmee and Bernard's relationship?,DESC,desc
Why does Robin blame Coombe for the incident involving Donal?,DESC,reason
How does the Vatican say Father Patrick McKenna died in their official announcement?,DESC,manner
What destroyed Swayzak's bid to become mayor?,DESC,desc
How is the fight club initially formed?,DESC,manner
"How does Patrizio propose to get back the money he lost on his first bet, and double it?",DESC,manner
Why did John Willoughby leave Marianne?,DESC,reason
What happens when Charnier arrives in New York?,DESC,desc
"Aside from the opening chapter, how is the story imparted by Sylvia?",DESC,manner
How was the estate finally restored?,DESC,manner
How did Christof make Truman believe that he was afraid of the water?,DESC,manner
"What is the difference between the themes presented in ""Beauty and the Beast"" and Mauprat's character?",DESC,desc
What happens when Kathleen and Joe finally decide to meet up?,DESC,desc
"Why does Toulour set up a scenario in which, if Ocean and his gang can pull of something, he will pay their casino fees to Benedict?",DESC,reason
How does Taylor know that Barnes is behind the killing of Elias?,DESC,desc
What happens to workers on the island?,DESC,desc
How did the engagement between Frank and Jane end?,DESC,manner
How did the castaways return to Earth?,DESC,manner
Why did tension arise between Willard and Chief?,DESC,reason
What was the Corwin Amendment?,DESC,def
Why is Pete especially angry with Everett after learning there is no treasure?,DESC,reason
Why is Gladys arrested?,DESC,reason
How did the stolen $10 million get into a trailer home?,DESC,manner
What caused audiences around the world to become suddenly extremely interested in the show?,DESC,desc
What happens at Omean Crater?,DESC,
Why does Lateesha tell the FBI that Frances is going to commit the robbery?,DESC,reason
When does the city experience daylight for the first time?,NUM,date
What reason did Father McKenna give for murdering the previous pope?,DESC,reason
How did the leadys trick the humans into believing the world outside the tunnels was too dangerous to go to?,DESC,manner
How does the story end?,DESC,manner
How is Bonnie and Clyde finally captured by the police?,DESC,manner
What disappoints Bliss as he goes throught Boon's papers?,DESC,desc
What do Tars and John discover about the journey to the Valley Dor?,DESC,desc
How do the people make it easier for Claus to deliver presents?,DESC,manner
Where are they actually in terms of social class?,DESC,desc
Why do Anna and Will break up the second time?,DESC,reason
How did Max ultimately escape from Clay?,DESC,manner
What happens to allow Haystoun to show his courage?,DESC,desc
What is the main issue that the Titus Brothers Contracters have run into?,DESC,desc
What is special about the Red October?,DESC,desc
Why did the Marquis allow Harry Sandwich to live with his family?,DESC,reason
Why does Jacobs lawyer back out of the case?,DESC,reason
Why are people upset with John Hodder?,DESC,reason
What does Jeff ask Lisa to do in order to gain more evidence that Thorwald has killed his wife?,DESC,desc
What happens after Winnie posts a story critical of Keller Zabel's collapse?,DESC,desc
What does Willoughb eventually plan to do?,DESC,desc
"When Lensky invites Onegin to Tatyana's name celebration, who does he say are invited?",HUM,ind
What was the promise really about?,DESC,desc
Why does Detective Spooner hate and distrust the robots?,DESC,reason
Why did Dudley end up in a side car on Woody's bike?,DESC,reason
What prevents the Angel of Death from taking Claus away?,DESC,reason
Why is Zuckerberg advised to settle with the cofounders of facebook?,DESC,reason
Why was Markway interested in the mansion?,DESC,reason
Why does Irving not leave his wife Rosalynn?,DESC,reason
Why does Holmes believe the package is evidence of more than just a prank?,DESC,reason
What is considered the basic mystery structure?,DESC,desc
How did the dead victims get to Mrs. Lovett?,DESC,manner
Why was Philip angry with Edward?,DESC,reason
How does Oliver pay for the consequences of Peter's death?,DESC,manner
What was Socrates' response to Crito's first point?,DESC,desc
Who decides to begin testing the affects of the comet on the Earth's atmosphere?,HUM,ind
"How do Peter, Michael, and Samir plan on getting back at the company?",DESC,manner
What happens on American Independence Day?,DESC,desc
How does Govinda finally find enlightenment?,DESC,manner
"Once Bretton betrayed Jake, how did Gekko help Jake?",DESC,manner
What makes it impossible for Nabote to kidnap Fairer-than-a-Fairy?,DESC,
How does Stanley know that Gabriel is most likely not dead after shooting down Gabriel's helicopter with a rocket-propelled grenade?,DESC,
What purpose was Augustus Triumphans intended to serve?,DESC,desc
How does Glinda the Good Witch try to prevent a future invasion of Oz?,DESC,manner
What does Salander blackmail Bjurman for?,DESC,reason
How does Giles die?,DESC,manner
What distraction caused Mike to cover for Waller?,DESC,desc
How does Josh get promoted to Vice President in Charge of Production?,DESC,manner
What does Tempest do when he actually sees Lucio for who he really is?,DESC,desc
How does Dunner get out of jail?,DESC,manner
While George lies in a hospital dying what does Sam do?,DESC,desc
What do you think the reader would like to see happen to Gurov and Anna?,DESC,desc
Why does Andrew's father blame him for Andrew's mother's paralysis?,DESC,reason
Why doesn't Del Spooner believe that Lanning committed suicide?,DESC,reason
"In one sentence, what was the main idea of The Origins of Totalitarianism about?",DESC,desc
Explain why you think Bernard was one a good man?,DESC,reason
How do Dan and Cindy meet?,DESC,manner
Why does Sobel give Jelly his business card?,DESC,reason
What happens to make Nella follow Miss Spencer?,DESC,desc
How is new  society opposite to previous society?,DESC,manner
"According to Elder Simms, why has no crime been committed?",DESC,reason
How do Lisa and her mother reconnect?,DESC,manner
What is the one mistake Danny made that almost caught Cataleya?,DESC,desc
Why do Bartleby and Loki want to go to the cathedral?,DESC,reason
Why did the Queen exonerate John and his father?,DESC,reason
What happens when George destroys all the models but one?,DESC,desc
What does Lisa decide after confronting Gerald?,DESC,desc
"What happens to Frances, his brother and two friends after the shooting at the trailer home?",DESC,desc
Why does Barnes want Elias dead?,DESC,reason
What happens to the house targeted by the laser?,DESC,desc
Why do Ed and the Baptists conflict over the making of Plan 9?,DESC,reason
How does Joe finally lose his mother's locket?,DESC,manner
Who is Dain Maroola?,HUM,ind
What does Salander do to Bjurman after he had already raped her?,DESC,desc
How does John escape death in Omean?,DESC,manner
What happens during Yuri's sale to Andre Baptise Sr. in 2001?,DESC,desc
Why does Jeff believe the dog was killed?,DESC,reason
Why do the Jews seem to attract persecution where there wasn't any previously?,DESC,reason
Why did Richard Salton contact Adam Salton in 1860?,DESC,reason
Why do you think Anna ran from Gurov at the theatre in Yalta?,DESC,reason
Why does Victor Valdi ask to have Tato stay with Uncle John and the girls?,DESC,reason
What was the legend of the Great Stone Face?,DESC,desc
Why is the title 'Bliss' ironic?,DESC,reason
What happens to Kowalski when they reach their destination?,DESC,desc
What is Travers inspiration for writing Mary Poppins?,DESC,desc
Other than introducing Lucio to Tempest what does the third letter accomplish?,DESC,desc
What does Christof tell Truman about the world once Truman finds an escape?,DESC,desc
